,artist,num_songs,num_weeks_on_charts,earliest_date
0,Adele,14,304,2008-11-08
1,Walker Hayes,2,37,2017-11-04
2,Ed Sheeran,26,397,2012-07-28
3,Olivia Rodrigo,12,165,2020-01-18
4,Doja Cat,7,86,2019-12-07
5,Dua Lipa,9,206,2016-11-05
6,Glass Animals,1,41,2021-01-16
7,Maneskin,1,18,2021-07-10
8,Lil Nas X,8,86,2019-07-06
9,Farruko,2,18,2020-11-07
10,CKay,1,6,2021-10-02
11,The Weeknd,43,477,2012-11-17
12,Billie Eilish,28,266,2018-08-04
13,Moneybagg Yo,9,80,2020-05-23
14,Justin Bieber,49,329,2009-07-25
15,Loza Alexander,1,2,2021-10-30
16,Luke Combs,14,268,2017-03-04
17,Tai Verdes,1,17,2021-07-17
18,Chris Stapleton,9,117,2015-11-21
19,Lee Brice,12,217,2010-05-22
20,Capella Grey,1,13,2021-08-14
21,Old Dominion,9,180,2015-07-25
22,Chloe,1,7,2021-09-25
23,Zac Brown Band,19,293,2008-10-04
24,Elvie Shane,1,18,2021-07-03
25,Kanye West,56,361,2003-11-29
26,Kenny Chesney,46,769,1998-05-09
27,Lil Durk,9,21,2020-05-23
28,Morgan Wallen,19,206,2019-03-16
29,Cody Johnson,2,19,2019-02-02
30,Michael Ray,4,43,2015-06-13
31,Kane Brown,12,119,2015-11-14
32,Ivan Cornejo,1,4,2021-10-16
33,Jon Pardi,8,132,2013-11-30
34,Sleepy Hallow,2,17,2020-06-20
35,Realestk,1,3,2021-10-23
36,Giveon,3,37,2021-02-27
37,Megan Thee Stallion,9,114,2019-04-20
38,Lady A,2,17,2020-10-31
39,Latto,1,1,2021-11-06
40,Lisa,2,2,2021-09-25
41,Drake,108,787,2009-05-23
42,Grupo Firme,1,2,2021-10-30
43,Jonas Brothers,21,226,2007-02-17
44,Priscilla Block,1,3,2021-10-23
45,Parker McCollum,2,23,2020-07-04
46,Oliver Tree,1,2,2021-10-23
47,YoungBoy Never Broke Again,51,171,2017-09-02
48,Roddy Ricch,4,61,2019-05-18
49,Bad Bunny,18,79,2019-01-12
50,Scotty McCreery,8,127,2011-06-11
51,Rauw Alejandro,1,20,2021-06-12
52,Luke Bryan,31,543,2007-08-18
53,Meek Mill,21,23,2015-03-21
54,BTS,16,83,2017-10-07
55,TWICE,1,1,2021-10-16
56,Lainey Wilson,1,20,2021-05-29
57,Taylor Swift,120,1023,2006-09-23
58,Duncan Laurence,1,24,2021-04-17
59,Camila Cabello,7,81,2017-06-10
60,Thomas Rhett,16,302,2012-07-28
61,Cole Swindell,10,186,2013-11-02
62,Justin Moore,12,187,2009-06-20
63,Post Malone,28,313,2015-09-26
64,Halsey,9,172,2015-09-19
65,Dan + Shay,11,235,2014-01-18
66,The Kid LAROI,3,52,2020-11-07
67,Masked Wolf,1,28,2021-02-27
68,Polo G,15,62,2020-04-25
69,Chris Young + Kane Brown,1,22,2021-04-03
70,Rod Wave,27,98,2019-11-23
71,Sueco,1,2,2021-08-28
72,Clinton Kane,2,2,2021-03-06
73,Young Thug,10,43,2014-03-01
